t_min,glucose_true_mg_dl,sensor_mg_dl,sensor_valid,carbs_g_step,iir_u_per_h,exercise_pct,hr_bpm
0.0000,99.9719,101.1541,1,0.0000,1.0000,0.0000,0.0000
1.0000,99.9447,0.0000,0,0.0000,1.0000,0.0000,0.0000
2.0000,99.9185,0.0000,0,0.0000,1.0000,0.0000,0.0000
3.0000,99.8933,0.0000,0,0.0000,1.0000,0.0000,0.0000
4.0000,99.8689,0.0000,0,0.0000,1.0000,0.0000,0.0000
5.0000,99.8454,96.4109,1,0.0000,1.0000,0.0000,0.0000
6.0000,99.8227,0.0000,0,0.0000,1.0000,0.0000,0.0000
7.0000,99.8009,0.0000,0,0.0000,1.0000,0.0000,0.0000
8.0000,99.7798,0.0000,0,0.0000,1.0000,0.0000,0.0000
9.0000,99.7594,0.0000,0,0.0000,1.0000,0.0000,0.0000
10.0000,99.7398,97.3387,1,0.0000,1.0000,0.0000,0.0000
11.0000,99.7208,0.0000,0,0.0000,1.0000,0.0000,0.0000
12.0000,99.7025,0.0000,0,0.0000,1.0000,0.0000,0.0000
13.0000,99.6849,0.0000,0,0.0000,1.0000,0.0000,0.0000
14.0000,99.6679,0.0000,0,0.0000,1.0000,0.0000,0.0000
15.0000,99.6515,100.7643,1,0.0000,1.0000,0.0000,0.0000
16.0000,99.6356,0.0000,0,0.0000,1.0000,0.0000,0.0000
17.0000,99.6203,0.0000,0,0.0000,1.0000,0.0000,0.0000
18.0000,99.6056,0.0000,0,0.0000,1.0000,0.0000,0.0000
19.0000,99.5914,0.0000,0,0.0000,1.0000,0.0000,0.0000
20.0000,99.5777,105.7511,1,0.0000,1.0000,0.0000,0.0000
21.0000,99.5644,0.0000,0,0.0000,1.0000,0.0000,0.0000
22.0000,99.5517,0.0000,0,0.0000,1.0000,0.0000,0.0000
23.0000,99.5394,0.0000,0,0.0000,1.0000,0.0000,0.0000
24.0000,99.5275,0.0000,0,0.0000,1.0000,0.0000,0.0000
25.0000,99.5160,100.1376,1,0.0000,1.0000,0.0000,0.0000
26.0000,99.5050,0.0000,0,0.0000,1.0000,0.0000,0.0000
27.0000,99.4943,0.0000,0,0.0000,1.0000,0.0000,0.0000
28.0000,99.4840,0.0000,0,0.0000,1.0000,0.0000,0.0000
29.0000,99.4741,0.0000,0,0.0000,1.0000,0.0000,0.0000
30.0000,99.4645,101.3119,1,0.0000,1.0000,0.0000,0.0000
31.0000,99.4553,0.0000,0,0.0000,1.0000,0.0000,0.0000
32.0000,99.4464,0.0000,0,0.0000,1.0000,0.0000,0.0000
33.0000,99.4378,0.0000,0,0.0000,1.0000,0.0000,0.0000
34.0000,99.4295,0.0000,0,0.0000,1.0000,0.0000,0.0000
35.0000,99.4215,103.4079,1,0.0000,1.0000,0.0000,0.0000
36.0000,99.4137,0.0000,0,0.0000,1.0000,0.0000,0.0000
37.0000,99.4063,0.0000,0,0.0000,1.0000,0.0000,0.0000
38.0000,99.3991,0.0000,0,0.0000,1.0000,0.0000,0.0000
39.0000,99.3922,0.0000,0,0.0000,1.0000,0.0000,0.0000
40.0000,99.3855,102.5506,1,0.0000,1.0000,0.0000,0.0000
41.0000,99.3790,0.0000,0,0.0000,1.0000,0.0000,0.0000
42.0000,99.3728,0.0000,0,0.0000,1.0000,0.0000,0.0000
43.0000,99.3668,0.0000,0,0.0000,1.0000,0.0000,0.0000
44.0000,99.3610,0.0000,0,0.0000,1.0000,0.0000,0.0000
45.0000,99.3554,97.0947,1,0.0000,1.0000,0.0000,0.0000
46.0000,99.3500,0.0000,0,0.0000,1.0000,0.0000,0.0000
47.0000,99.3448,0.0000,0,0.0000,1.0000,0.0000,0.0000
48.0000,99.3398,0.0000,0,0.0000,1.0000,0.0000,0.0000
49.0000,99.3350,0.0000,0,0.0000,1.0000,0.0000,0.0000
50.0000,99.3303,97.4778,1,0.0000,1.0000,0.0000,0.0000
51.0000,99.3258,0.0000,0,0.0000,1.0000,0.0000,0.0000
52.0000,99.3215,0.0000,0,0.0000,1.0000,0.0000,0.0000
53.0000,99.3173,0.0000,0,0.0000,1.0000,0.0000,0.0000
54.0000,99.3132,0.0000,0,0.0000,1.0000,0.0000,0.0000
55.0000,99.3093,98.8898,1,0.0000,1.0000,0.0000,0.0000
56.0000,99.3056,0.0000,0,0.0000,1.0000,0.0000,0.0000
57.0000,99.3019,0.0000,0,0.0000,1.0000,0.0000,0.0000
58.0000,99.2984,0.0000,0,0.0000,1.0000,0.0000,0.0000
59.0000,99.2951,0.0000,0,0.0000,1.0000,0.0000,0.0000
60.0000,99.2918,99.7789,1,60.0000,37.0000,0.0000,0.0000
61.0000,99.2887,0.0000,0,0.0000,37.0000,0.0000,0.0000
62.0000,99.1472,0.0000,0,0.0000,37.0000,0.0000,0.0000
63.0000,98.7655,0.0000,0,0.0000,37.0000,0.0000,0.0000
64.0000,98.0735,0.0000,0,0.0000,37.0000,0.0000,0.0000
65.0000,97.0306,95.2362,1,0.0000,1.0000,0.0000,0.0000
66.0000,95.6224,0.0000,0,0.0000,1.0000,0.0000,0.0000
67.0000,94.0153,0.0000,0,0.0000,1.0000,0.0000,0.0000
68.0000,92.3478,0.0000,0,0.0000,1.0000,0.0000,0.0000
69.0000,90.7317,0.0000,0,0.0000,1.0000,0.0000,0.0000
70.0000,89.2553,89.5370,1,0.0000,1.0000,0.0000,0.0000
71.0000,87.9867,0.0000,0,0.0000,1.0000,0.0000,0.0000
72.0000,86.9523,0.0000,0,0.0000,1.0000,0.0000,0.0000
73.0000,86.1672,0.0000,0,0.0000,1.0000,0.0000,0.0000
74.0000,85.6382,0.0000,0,0.0000,1.0000,0.0000,0.0000
75.0000,85.3657,84.3648,1,0.0000,1.0000,0.0000,0.0000
76.0000,85.3457,0.0000,0,0.0000,1.0000,0.0000,0.0000
77.0000,85.5708,0.0000,0,0.0000,1.0000,0.0000,0.0000
78.0000,86.0319,0.0000,0,0.0000,1.0000,0.0000,0.0000
79.0000,86.7183,0.0000,0,0.0000,1.0000,0.0000,0.0000
80.0000,87.6188,86.2772,1,0.0000,1.0000,0.0000,0.0000
81.0000,88.7218,0.0000,0,0.0000,1.0000,0.0000,0.0000
82.0000,90.0158,0.0000,0,0.0000,1.0000,0.0000,0.0000
83.0000,91.4894,0.0000,0,0.0000,1.0000,0.0000,0.0000
84.0000,93.1316,0.0000,0,0.0000,1.0000,0.0000,0.0000
85.0000,94.9319,95.7196,1,0.0000,1.0000,0.0000,0.0000
86.0000,96.8802,0.0000,0,0.0000,1.0000,0.0000,0.0000
87.0000,98.9669,0.0000,0,0.0000,1.0000,0.0000,0.0000
88.0000,101.1829,0.0000,0,0.0000,1.0000,0.0000,0.0000
89.0000,103.5196,0.0000,0,0.0000,1.0000,0.0000,0.0000
90.0000,105.9687,107.9152,1,0.0000,1.0000,0.0000,0.0000
91.0000,108.5227,0.0000,0,0.0000,1.0000,0.0000,0.0000
92.0000,111.1741,0.0000,0,0.0000,1.0000,0.0000,0.0000
93.0000,113.9161,0.0000,0,0.0000,1.0000,0.0000,0.0000
94.0000,116.7421,0.0000,0,0.0000,1.0000,0.0000,0.0000
95.0000,119.6457,119.9216,1,0.0000,1.0000,0.0000,0.0000
96.0000,122.6212,0.0000,0,0.0000,1.0000,0.0000,0.0000
97.0000,125.6628,0.0000,0,0.0000,1.0000,0.0000,0.0000
98.0000,128.7651,0.0000,0,0.0000,1.0000,0.0000,0.0000
99.0000,131.9231,0.0000,0,0.0000,1.0000,0.0000,0.0000
100.0000,135.1319,134.8438,1,0.0000,1.0000,0.0000,0.0000
