t_min,glucose_true_mg_dl,sensor_mg_dl,sensor_valid,carbs_g_step,iir_u_per_h,exercise_pct,hr_bpm
0.0000,100.5746,100.5746,1,0.0000,1.0000,0.0000,0.0000
1.0000,101.0679,0.0000,0,0.0000,1.0000,0.0000,0.0000
2.0000,101.5044,0.0000,0,0.0000,1.0000,0.0000,0.0000
3.0000,101.9049,0.0000,0,0.0000,1.0000,0.0000,0.0000
4.0000,102.2867,0.0000,0,0.0000,1.0000,0.0000,0.0000
5.0000,102.6644,102.6644,1,0.0000,1.0000,0.0000,0.0000
6.0000,103.0499,0.0000,0,0.0000,1.0000,0.0000,0.0000
7.0000,103.4532,0.0000,0,0.0000,1.0000,0.0000,0.0000
8.0000,103.8828,0.0000,0,0.0000,1.0000,0.0000,0.0000
9.0000,104.3454,0.0000,0,0.0000,1.0000,0.0000,0.0000
10.0000,104.8467,104.8467,1,0.0000,1.0000,0.0000,0.0000
11.0000,105.3915,0.0000,0,0.0000,1.0000,0.0000,0.0000
12.0000,105.9834,0.0000,0,0.0000,1.0000,0.0000,0.0000
13.0000,106.6257,0.0000,0,0.0000,1.0000,0.0000,0.0000
14.0000,107.3208,0.0000,0,0.0000,1.0000,0.0000,0.0000
15.0000,108.0707,108.0707,1,0.0000,1.0000,0.0000,0.0000
16.0000,108.8770,0.0000,0,0.0000,1.0000,0.0000,0.0000
17.0000,109.7410,0.0000,0,0.0000,1.0000,0.0000,0.0000
18.0000,110.6634,0.0000,0,0.0000,1.0000,0.0000,0.0000
19.0000,111.6452,0.0000,0,0.0000,1.0000,0.0000,0.0000
20.0000,112.6866,112.6866,1,0.0000,1.0000,0.0000,0.0000
21.0000,113.7880,0.0000,0,0.0000,1.0000,0.0000,0.0000
22.0000,114.9496,0.0000,0,0.0000,1.0000,0.0000,0.0000
23.0000,116.1713,0.0000,0,0.0000,1.0000,0.0000,0.0000
24.0000,117.4531,0.0000,0,0.0000,1.0000,0.0000,0.0000
25.0000,118.7947,118.7947,1,0.0000,1.0000,0.0000,0.0000
26.0000,120.1960,0.0000,0,0.0000,1.0000,0.0000,0.0000
27.0000,121.6566,0.0000,0,0.0000,1.0000,0.0000,0.0000
28.0000,123.1761,0.0000,0,0.0000,1.0000,0.0000,0.0000
29.0000,124.7541,0.0000,0,0.0000,1.0000,0.0000,0.0000
30.0000,126.3902,126.3902,1,0.0000,1.0000,0.0000,0.0000
31.0000,128.0838,0.0000,0,0.0000,1.0000,0.0000,0.0000
32.0000,129.8344,0.0000,0,0.0000,1.0000,0.0000,0.0000
33.0000,131.6414,0.0000,0,0.0000,1.0000,0.0000,0.0000
34.0000,133.5043,0.0000,0,0.0000,1.0000,0.0000,0.0000
35.0000,135.4225,135.4225,1,0.0000,1.0000,0.0000,0.0000
36.0000,137.3952,0.0000,0,0.0000,1.0000,0.0000,0.0000
37.0000,139.4220,0.0000,0,0.0000,1.0000,0.0000,0.0000
