t_min,glucose_true_mg_dl,sensor_mg_dl,sensor_valid,carbs_g_step,iir_u_per_h,exercise_pct,hr_bpm
0.0000,100.5746,93.8734,1,0.0000,0.4541,0.0000,0.0000
1.0000,101.0679,0.0000,0,0.0000,0.4541,0.0000,0.0000
2.0000,101.4918,0.0000,0,0.0000,0.4541,0.0000,0.0000
3.0000,101.8569,0.0000,0,0.0000,0.4541,0.0000,0.0000
4.0000,102.1723,0.0000,0,0.0000,0.4541,0.0000,0.0000
5.0000,102.4457,105.4911,1,0.0000,0.4541,0.0000,0.0000
6.0000,102.6837,0.0000,0,0.0000,0.4541,0.0000,0.0000
7.0000,102.8921,0.0000,0,0.0000,0.4541,0.0000,0.0000
8.0000,103.0756,0.0000,0,0.0000,0.4541,0.0000,0.0000
9.0000,103.2386,0.0000,0,0.0000,0.4541,0.0000,0.0000
10.0000,103.3844,82.5652,1,0.0000,0.4541,0.0000,0.0000
11.0000,103.5161,0.0000,0,0.0000,0.4541,0.0000,0.0000
12.0000,103.6362,0.0000,0,0.0000,0.4541,0.0000,0.0000
13.0000,103.7469,0.0000,0,0.0000,0.4541,0.0000,0.0000
14.0000,103.8500,0.0000,0,0.0000,0.4541,0.0000,0.0000
15.0000,103.9470,92.8791,1,0.0000,0.4541,0.0000,0.0000
16.0000,104.0393,0.0000,0,0.0000,0.4541,0.0000,0.0000
17.0000,104.1279,0.0000,0,0.0000,0.4541,0.0000,0.0000
18.0000,104.2138,0.0000,0,0.0000,0.4541,0.0000,0.0000
19.0000,104.2977,0.0000,0,0.0000,0.4541,0.0000,0.0000
20.0000,104.3803,91.4059,1,0.0000,0.4541,0.0000,0.0000
21.0000,104.4621,0.0000,0,0.0000,0.4541,0.0000,0.0000
22.0000,104.5435,0.0000,0,0.0000,0.4541,0.0000,0.0000
23.0000,104.6249,0.0000,0,0.0000,0.4541,0.0000,0.0000
24.0000,104.7066,0.0000,0,0.0000,0.4541,0.0000,0.0000
25.0000,104.7888,95.3951,1,0.0000,0.4541,0.0000,0.0000
26.0000,104.8718,0.0000,0,0.0000,0.4541,0.0000,0.0000
27.0000,104.9555,0.0000,0,0.0000,0.4541,0.0000,0.0000
28.0000,105.0403,0.0000,0,0.0000,0.4541,0.0000,0.0000
29.0000,105.1261,0.0000,0,0.0000,0.4541,0.0000,0.0000
30.0000,105.2131,96.0441,1,0.0000,0.4541,0.0000,0.0000
31.0000,105.3012,0.0000,0,0.0000,0.4541,0.0000,0.0000
32.0000,105.3905,0.0000,0,0.0000,0.4541,0.0000,0.0000
33.0000,105.4809,0.0000,0,0.0000,0.4541,0.0000,0.0000
34.0000,105.5726,0.0000,0,0.0000,0.4541,0.0000,0.0000
35.0000,105.6654,106.7138,1,0.0000,0.4541,0.0000,0.0000
36.0000,105.7594,0.0000,0,0.0000,0.4541,0.0000,0.0000
37.0000,105.8545,0.0000,0,0.0000,0.4541,0.0000,0.0000
38.0000,105.9507,0.0000,0,0.0000,0.4541,0.0000,0.0000
39.0000,106.0480,0.0000,0,0.0000,0.4541,0.0000,0.0000
40.0000,106.1462,87.2845,1,0.0000,0.4541,0.0000,0.0000
41.0000,106.2455,0.0000,0,0.0000,0.4541,0.0000,0.0000
42.0000,106.3456,0.0000,0,0.0000,0.4541,0.0000,0.0000
43.0000,106.4467,0.0000,0,0.0000,0.4541,0.0000,0.0000
